,bitcoin_Price_x,bitcoin_High_x,bitcoin_Low_x,sp500_Price_x,sp500_High_x,sp500_Low_x,dax_Price_x,dax_High_x,dax_Low_x,googl_Price_x,googl_High_x,googl_Low_x,gold_Price_x,gold_High_x,gold_Low_x,alibaba_Price_x,alibaba_High_x,alibaba_Low_x,amazon_Price_x,amazon_High_x,amazon_Low_x,bitcoin_Google_Trends_x,cryptocurrency_Google_Trends_x,trading_Google_Trends_x,bitcoin_pos_sents_x,bitcoin_neg_sents_x,bitcoin_quot_sents_x,economy_pos_sents_x,economy_neg_sents_x,economy_quot_sents_x
googl_High_y,0.0001,0.0,0.0,0.0,0.0036,0.0,0.0,0.0001,0.0006,0.0,1.0,0.0,0.3331,0.2999,0.2036,0.0,0.0241,0.0,0.0,0.1162,0.0,0.0007,0.0426,0.002,0.4469,0.0141,0.0525,0.3369,0.2064,0.3156
googl_Low_y,0.0,0.0,0.0023,0.0,0.0002,0.0062,0.0164,0.0686,0.0593,0.0,0.0,1.0,0.1977,0.2773,0.0988,0.0,0.2472,0.0869,0.0,0.018,0.0539,0.0,0.0002,0.0,0.3331,0.0696,0.3114,0.3227,0.0488,0.4497
gold_Price_y,0.7855,0.5657,0.7629,0.002,0.0354,0.0007,0.1123,0.1294,0.0634,0.2276,0.5123,0.7553,1.0,0.0,0.0001,0.3734,0.5677,0.7736,0.0928,0.1582,0.2132,0.3702,0.309,0.1045,0.0116,0.2809,0.0116,0.7316,0.8197,0.4741
gold_High_y,0.51,0.5517,0.4619,0.0005,0.0925,0.0002,0.3194,0.4387,0.1506,0.079,0.3806,0.095,0.0,1.0,0.0,0.2252,0.3751,0.3596,0.0156,0.0626,0.0701,0.8346,0.6507,0.0864,0.1538,0.0575,0.0044,0.0116,0.3131,0.0666
gold_Low_y,0.7966,0.7725,0.5573,0.0002,0.0139,0.0184,0.4292,0.2346,0.1609,0.0193,0.2255,0.3646,0.0,0.0,1.0,0.0567,0.2722,0.1334,0.0073,0.2234,0.0841,0.341,0.5334,0.0174,0.0244,0.1926,0.0097,0.1703,0.5769,0.6902
alibaba_Price_y,0.0008,0.3609,0.001,0.0002,0.0458,0.0003,0.1735,0.4639,0.0955,0.1841,0.0834,0.1389,0.4221,0.7114,0.336,1.0,0.0171,0.04,0.0029,0.0005,0.0004,0.0002,0.0013,0.0386,0.9388,0.0474,0.6286,0.1063,0.0538,0.2888
alibaba_High_y,0.0,0.0016,0.0001,0.0,0.1538,0.0117,0.1366,0.0051,0.1387,0.0,0.0778,0.0002,0.249,0.6251,0.0781,0.0,1.0,0.0,0.0,0.0,0.008,0.0006,0.0006,0.1337,0.5743,0.0242,0.5449,0.1089,0.3612,0.5027
alibaba_Low_y,0.0,0.0279,0.0028,0.0,0.0693,0.1357,0.1602,0.0199,0.0118,0.0,0.1427,0.2581,0.0435,0.3638,0.3717,0.0,0.0,1.0,0.0,0.0002,0.0202,0.0009,0.0,0.0451,0.6381,0.3819,0.8327,0.1762,0.1755,0.175
amazon_Price_y,0.1529,0.1066,0.5288,0.1694,0.0007,0.0619,0.1418,0.0621,0.0022,0.0585,0.0007,0.0118,0.286,0.0954,0.1905,0.0,0.0595,0.1505,1.0,0.0001,0.0001,0.0006,0.0236,0.0008,0.7187,0.2243,0.9089,0.0657,0.3076,0.2275
amazon_High_y,0.0816,0.0238,0.2065,0.0,0.0001,0.0,0.0197,0.2703,0.3599,0.0,0.0001,0.0,0.2086,0.0336,0.2708,0.0,0.0306,0.0,0.0,1.0,0.0,0.0024,0.04,0.0163,0.5512,0.0914,0.2955,0.1671,0.5972,0.2868
amazon_Low_y,0.0153,0.0088,0.0967,0.0,0.0,0.0013,0.2738,0.082,0.276,0.0,0.0,0.0,0.3242,0.0861,0.3087,0.0,0.0076,0.0837,0.0,0.0,1.0,0.0021,0.0056,0.0458,0.4878,0.1435,0.6177,0.1074,0.1754,0.2925
bitcoin_Google_Trends_y,0.0,0.0,0.0,0.0229,0.0021,0.0044,0.2755,0.2315,0.2423,0.0154,0.0381,0.0374,0.1303,0.0858,0.4068,0.0042,0.0003,0.0001,0.0,0.0002,0.0007,1.0,0.0036,0.0072,0.0665,0.0064,0.2812,0.6995,0.4779,0.7084
cryptocurrency_Google_Trends_y,0.0,0.0,0.0,0.0023,0.0173,0.0077,0.661,0.4198,0.4356,0.0126,0.1236,0.0756,0.1703,0.2248,0.7291,0.0033,0.0,0.0,0.0001,0.0,0.0009,0.0016,1.0,0.1235,0.0391,0.01,0.5354,0.1327,0.2447,0.5569
trading_Google_Trends_y,0.0601,0.3864,0.136,0.0407,0.0003,0.0077,0.0138,0.0254,0.0634,0.0004,0.0359,0.0059,0.0143,0.0217,0.309,0.1814,0.0341,0.0188,0.0014,0.0,0.0006,0.2494,0.2367,1.0,0.2762,0.0871,0.4946,0.2765,0.1824,0.1523
bitcoin_pos_sents_y,0.4829,0.4255,0.227,0.0023,0.0257,0.0966,0.011,0.0304,0.0147,0.3703,0.4071,0.3766,0.3089,0.3669,0.006,0.2354,0.6174,0.4218,0.2743,0.1553,0.2989,0.6044,0.1637,0.4667,1.0,0.1228,0.0958,0.303,0.9552,0.5105
bitcoin_neg_sents_y,0.0022,0.1292,0.0003,0.0564,0.0067,0.0141,0.0203,0.0079,0.1061,0.2212,0.0204,0.1636,0.4667,0.5545,0.5015,0.0473,0.1453,0.0318,0.2517,0.2338,0.058,0.0003,0.0189,0.1193,0.0328,1.0,0.1062,0.3328,0.1189,0.4919
bitcoin_quot_sents_y,0.1818,0.6174,0.1716,0.004,0.0306,0.028,0.0,0.0,0.0001,0.4309,0.5831,0.0796,0.2223,0.2574,0.1102,0.3175,0.3161,0.1358,0.4957,0.682,0.1102,0.0304,0.2498,0.3808,0.3212,0.1973,1.0,0.0117,0.0234,0.0084
economy_pos_sents_y,0.3287,0.0066,0.2404,0.0084,0.0541,0.0016,0.0555,0.0445,0.0315,0.0126,0.064,0.0055,0.4631,0.3438,0.2854,0.0879,0.1035,0.1594,0.022,0.1122,0.0427,0.1439,0.0587,0.0451,0.3302,0.1237,0.0425,1.0,0.0729,0.0
economy_neg_sents_y,0.3211,0.1983,0.326,0.0092,0.0147,0.0255,0.0184,0.0223,0.1033,0.0014,0.0007,0.0028,0.4082,0.1471,0.4962,0.8465,0.67,0.7378,0.3728,0.4026,0.3149,0.0323,0.146,0.0002,0.3285,0.4085,0.442,0.0002,1.0,0.0404
economy_quot_sents_y,0.2193,0.1098,0.5044,0.0021,0.0015,0.0006,0.0062,0.0066,0.0016,0.0028,0.0007,0.0012,0.2562,0.2515,0.0445,0.1986,0.0424,0.224,0.1468,0.0123,0.0382,0.2469,0.2038,0.0558,0.2759,0.169,0.0619,0.0001,0.0,1.0
